"location","month","day","year","sex","museum","species","assecion_number","from"
"Sweden",6,2,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:22577304","gbifFILE"
"Sweden",6,3,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:22592236","gbifFILE"
"Sweden",6,12,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:43104077","gbifFILE"
"Sweden",6,2,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:44190950","gbifFILE"
"Sweden",6,17,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:29577686","gbifFILE"
"Sweden",6,4,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:30303203","gbifFILE"
"Sweden",6,8,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:30926400","gbifFILE"
"Sweden",6,6,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:31230921","gbifFILE"
"Sweden",6,25,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:75417001","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:49210834","gbifFILE"
"Sweden",7,8,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:47771423","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:63540110","gbifFILE"
"Sweden",6,17,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:78030412","gbifFILE"
"Sweden",6,4,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:69016255","gbifFILE"
"Sweden",6,14,1966,NA,"CLO","Porzana carolina (Linnaeus","4a574677-dfb5-40a2-9dd7-e935866a6c93","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:45073848","gbifFILE"
"Sweden",7,7,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:48582254","gbifFILE"
"Sweden",6,5,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:48703591","gbifFILE"
"Sweden",6,6,1966,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:48949529","gbifFILE"
"Sweden",6,3,1987,NA,"ArtDatabanken","Porzana carolina (Linnaeus","urn:lsid:artportalen.se:Sighting:61913806","gbifFILE"
"Aruba",7,19,2017,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS519843548","gbifFILE"
"Aruba",7,25,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS420197850","gbifFILE"
"Bahamas",7,22,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS641913807","gbifFILE"
"Bahamas",7,22,2018,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS642119379","gbifFILE"
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411360195","gbifFILE"
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411348882","gbifFILE"
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411375924","gbifFILE"
"Bahamas",6,11,2016,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD_CB:OBS411530231","gbifFILE"
"Belize",6,NA,1880,"male","Tring","Sora","89.11.20.86","tringFILE"
"Belize",7,28,2015,NA,"CLO","Porzana carolina (Linnaeus","URN:catalog:CLO:EBIRD:OBS339506374","gbifFILE"
