"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","countryCode","locality","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
"1476959555","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:35195016","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Björknästorpsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.400571,13.661237,500,NA,NA,NA,NA,NA,"1987-06-15T00:00:00Z",15,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","70879283","","","","CC0_1_0","Jan Rosqvist","Jan Rosqvist",NA,"","2018-12-06T23:24:58.551Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1468491175","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:25735428","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-03T00:00:00Z",3,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","60659353","","","","CC0_1_0","Erik F Nordberg","Erik F Nordberg",NA,"","2018-12-07T03:34:00.718Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1468498627","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:25886924","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-02T00:00:00Z",2,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","60667841","","","","CC0_1_0","Håkan Persson","Håkan Persson",NA,"","","",""
"1469235155","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:26572743","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Tornet","b8323864-602a-4a7d-9127-bb903054e97d",59.400608,13.660618,25,NA,NA,NA,NA,NA,"1987-06-11T00:00:00Z",11,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","61524567","","","","CC0_1_0","Hans Waern","Hans Waern",NA,"","2018-12-07T21:10:07.658Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1469568413","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:26523353","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-07T00:00:00Z",7,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","61909421","","","","CC0_1_0","Bo Hellberg","Bo Hellberg",NA,"","","",""
"1469608358","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:26944451","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Kråkberg","b8323864-602a-4a7d-9127-bb903054e97d",61.031571,14.534607,1888,NA,NA,NA,NA,NA,"1987-07-08T00:00:00Z",8,7,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","61972812","","","","CC0_1_0","Börje Dahlén","Börje Dahlén",NA,"","2018-12-07T15:25:36.842Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1482433304","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:40801133","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","76987849","","","","CC0_1_0","Douglas Gustafsson","Douglas Gustafsson",NA,"","2018-12-21T10:40:02.340Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1482661391","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:41168815","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsviken","b8323864-602a-4a7d-9127-bb903054e97d",59.408033,13.692032,750,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","77242617","","","","CC0_1_0","Lars Imby","Lars Imby",NA,"","","",""
"1482723916","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:41130076","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Kråkberg","b8323864-602a-4a7d-9127-bb903054e97d",61.031571,14.534607,1888,NA,NA,NA,NA,NA,"1987-07-07T00:00:00Z",7,7,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","77311699","","","","CC0_1_0","Lars-Göran Hansson","Lars-Göran Hansson",NA,"","2018-12-21T10:49:05.485Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
"1466420088","38b4c89f-584c-41bb-bd8f-cd1def33e92f","urn:lsid:artportalen.se:Sighting:23276398","Animalia","Chordata","Aves","Gruiformes","Rallidae","Porzana","Porzana carolina",NA,"SPECIES","Porzana carolina (Linnaeus","SE","Skattkärrsområdet","b8323864-602a-4a7d-9127-bb903054e97d",59.413089,13.671451,3000,NA,NA,NA,NA,NA,"1987-06-01T00:00:00Z",1,6,1987,2474639,2474639,"HUMAN_OBSERVATION","ArtDatabanken","Artportalen","58223732","","","","CC0_1_0","Åke Nygårds","Åke Nygårds",NA,"","2018-12-27T01:41:12.320Z","","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84"
