location,month,day,year,sex,museum,species,assecion_number,from,cut
Bahamas,6,11,2016,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,6,11,2016,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,6,11,2016,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,6,11,2016,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,7,22,2018,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Bahamas,7,22,2018,NA,FROMEBIRD,Porzana carolina,NA,ebirdFILE,X
Barbados,10,7,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/1,vertnetFILE,
Barbados,11,7,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/13,vertnetFILE,
Barbados,11,21,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/3,vertnetFILE,
Barbados,11,7,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/6,vertnetFILE,
Barbados,3,20,1954,male,YPM,Porzana carolina,urn:uuid:b9decb9a-b7a0-42a1-b40f-69253d079bc3,vertnetFILE,
Barbados,10,4,1902,male,NHMUK,Porzana carolina,a23e3987-5773-4df5-8e1e-8d6beb9d6351,vertnetFILE,
Barbados,11,24,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/2,vertnetFILE,
Barbados,11,5,1888,,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/4,vertnetFILE,
Barbados,11,22,1888,female,UMZC,Porzana carolina,urn:catalog:UMZC:Vertebrates:15/Ral/44/c/8,vertnetFILE,
Barbados,4,15,1954,male,YPM,Porzana carolina,urn:uuid:c68674be-9ab8-4b58-8fc9-f758a7330859,vertnetFILE,
Belize,6,NA,1880,male,Tring,Sora,89.11.20.86,tringFILE,
Belize,10,12,1971,undetermined,CM,Porzana carolina,urn:catalog:CM:Birds:P144863,vertnetFILE,
Belize,NA,NA,NA,,LSUMZ,Porzana carolina,urn:catalog:LSUMZ:Birds:21793,vertnetFILE,
Belize,NA,NA,NA,undetermined,CM,Porzana carolina,urn:catalog:CM:Birds:P25191,vertnetFILE,
Belize,NA,NA,NA,,LSUMZ,Porzana carolina,urn:catalog:LSUMZ:Birds:20516,vertnetFILE,
Belize,7,28,2015,NA,CLO,Porzana carolina (Linnaeus,URN:catalog:CLO:EBIRD:OBS339506374,gbifFILE,
